Virus Strain Name,Accession ID,Data Source,Related ID,Nuc.Completeness,Sequence Length,Sequence Quality,Quality Assessment,Host,Sample Collection Date,Location,Originating Lab,Submission Date,Submitting Lab
BetaCoV/Wuhan/HBCDC-HB-01/2019,EPI_ISL_402132,GISAID,,Complete,29848,High,0/0/1/0/NO,Homo sapiens,2019-12-30,China / Hubei,Wuhan Jinyintan Hospital,2020-01-19,Hubei Provincial Center for Disease Control and Prevention
BetaCoV/Nonthaburi/74/2020,EPI_ISL_403963,GISAID,,Complete,29859,High,0/0/0/0/NO,Homo sapiens,2020-01-13,Thailand/ Nonthaburi Province,Bamrasnaradura Hospital,2020-01-17,"Department of Medical Sciences, Ministry of Public Health, Thailand; Thai Red Cross Emerging Infectious Diseases - Health Science Centre; Department of Disease Control, Ministry of Public Health, Thailand"
BetaCoV/Nonthaburi/61/2020,EPI_ISL_403962,GISAID,,Complete,29848,High,0/0/0/0/NO,Homo sapiens,2020-01-08,Thailand/ Nonthaburi Province,Bamrasnaradura Hospital,2020-01-17,"Department of Medical Sciences, Ministry of Public Health, Thailand; Thai Red Cross Emerging Infectious Diseases - Health Science Centre; Department of Disease Control, Ministry of Public Health, Thailand"
BetaCoV/Wuhan/IVDC-HB-04/2020,EPI_ISL_402120,GISAID,,Complete,29896,High,0/0/2/0/NO,Homo sapiens,2020-01-01,China / Hubei / Wuhan,"National Institute for Viral Disease Control and Prevention, China CDC",2020-01-11,"National Institute for Viral Disease Control and Prevention, China CDC"
BetaCoV/Wuhan/IVDC-HB-01/2019,EPI_ISL_402119,GISAID,,Complete,29891,High,0/0/0/0/NO,Homo sapiens,2019-12-30,China / Hubei / Wuhan,"National Institute for Viral Disease Control and Prevention, China CDC",2020-01-10,"National Institute for Viral Disease Control and Prevention, China CDC"
BetaCoV/Wuhan/IVDC-HB-05/2019,EPI_ISL_402121,GISAID,,Complete,29891,High,0/0/2/0/NO,Homo sapiens,2019-12-30,China / Hubei / Wuhan,"National Institute for Viral Disease Control and Prevention, China CDC",2020-01-10,"National Institute for Viral Disease Control and Prevention, China CDC"
Wuhan-Hu-1,MN908947,GenBank,"NC_045512, EPI_ISL_402125",Complete,29903,High,0/0/0/0/NO,Homo sapiens,2019-12-30,China / Hubei / Wuhan,,2020-01-17,"Shanghai Public Health Clinical Center & School of Public Health, Fudan University, Shanghai, China"
BetaCoV/Zhejiang/WZ-01/2020,EPI_ISL_404227,GISAID,,Complete,29839,High,0/0/2/0/NO,Homo sapiens,2020-01-16,China / Zhejiang,Zhejiang Provincial Center for Disease Control and Prevention,2020-01-21,"Department of Microbiology, Zhejiang Provincial Center for Disease Control and Prevention"
BetaCoV/Zhejiang/WZ-02/2020,EPI_ISL_404228,GISAID,,Complete,29859,High,0/0/0/0/NO,Homo sapiens,2020-01-17,China / Zhejiang,Zhejiang Provincial Center for Disease Control and Prevention,2020-01-21,"Department of Microbiology, Zhejiang Provincial Center for Disease Control and Prevention"
BetaCoV/Guangdong/20SF040/2020,EPI_ISL_403937,GISAID,,Complete,29845,High,0/0/1/0/NO,Homo sapiens,2020-01-18,China / Guangdong Province / Zhuhai City,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-22,"Department of Microbiology, Guangdong Provincial Center for Diseases Contorl and Prevention"
BetaCoV/Guangdong/20SF028/2020,EPI_ISL_403936,GISAID,,Complete,29845,High,0/0/1/0/NO,Homo sapiens,2020-01-17,China / Guangdong Province / Zhuhai City,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-22,"Department of Microbiology, Guangdong Provincial Center for Diseases Contorl and Prevention"
BetaCoV/Guangdong/20SF025/2020,EPI_ISL_403935,GISAID,,Complete,29845,High,0/0/3/0/NO,Homo sapiens,2020-01-15,China / Guangdong Province / Shenzhen City,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-22,"Department of Microbiology, Guangdong Provincial Center for Diseases Contorl and Prevention"
BetaCoV/Guangdong/20SF014/2020,EPI_ISL_403934,GISAID,,Complete,29845,High,0/0/1/0/NO,Homo sapiens,2020-01-15,China / Guangdong Province / Shenzhen City,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-22,"Department of Microbiology, Guangdong Provincial Center for Diseases Contorl and Prevention"
BetaCoV/Guangdong/20SF013/2020,EPI_ISL_403933,GISAID,,Complete,29845,High,0/0/3/0/NO,Homo sapiens,2020-01-15,China / Guangdong Province / Shenzhen City,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-22,"Department of Microbiology, Guangdong Provincial Center for Diseases Contorl and Prevention"
BetaCoV/Guangdong/20SF012/2020,EPI_ISL_403932,GISAID,,Complete,29845,High,0/0/3/0/NO,Homo sapiens,2020-01-14,China / Guangdong Province / Shenzhen City,Guangdong Provincial Center for Diseases Control and Prevention; Guangdong Provincial Institute of Public Health,2020-01-22,"Department of Microbiology, Guangdong Provincial Center for Diseases Contorl and Prevention"
2019-nCoV_HKU-SZ-002a_2020,MN938384,GenBank,EPI_ISL_406030,Complete,29838,High,0/0/3/0/NO,Homo sapiens,2020-01-10,China / Guangdong / Shenzhen,University of Hong Kong-Shenzhen Hospital,2020-01-14,University of Hong Kong-Shenzhen Hospital
2019-nCoV_HKU-SZ-005b_2020,MN975262,GenBank,EPI_ISL_405839,Complete,29891,High,0/0/5/0/NO,Homo sapiens,2020-01-11,China / Guangdong / Shenzhen,University of Hong Kong-Shenzhen Hospital,2020-01-21,University of Hong Kong-Shenzhen Hospital
2019-nCoV/USA-WA1/2020,MN985325,GenBank,EPI_ISL_404895,Complete,29882,High,0/0/3/0/NO,Homo sapiens,2020-01-19,United States / Washington / Snohomish County,Providence Regional Medical Center,2020-01-24,"Division of Viral Diseases, Centers for Disease Control and Prevention"
2019-nCoV/USA-IL1/2020,MN988713,GenBank,EPI_ISL_404253,Complete,29882,High,0/8/8/0/NO,Homo sapiens,2020-01-21,United States / Illinois /Chicago,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Dieases Control and Prevention",2020-01-25,IL Department of Public Health Chicago Laboratory
BetaCoV/Wuhan/IPBCAMS-WH-01/2019,GWHABKF00000000,Genome Warehouse,"EPI_ISL_402123, MT019529",Complete,29899,High,0/0/3/0/NO,Homo sapiens,2019-12-23,China / Hubei / Wuhan,"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College",2020-01-11,"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College; Vision Medicals Co., Ltd"
BetaCoV/Wuhan/IPBCAMS-WH-02/2019,GWHABKG00000000,Genome Warehouse,"EPI_ISL_403931, MT019530",Complete,29889,High,"0/0/6/0/104~124(21-6-0.29,SNP:104; SNP:111; SNP:112; SNP:119; SNP:120; SNP:124)",Homo sapiens,2019-12-30,China / Hubei / Wuhan,"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College",2020-01-21,"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"
BetaCoV/Wuhan/IPBCAMS-WH-03/2019,GWHABKH00000000,Genome Warehouse,"EPI_ISL_403930, MT019531",Complete,29899,High,0/0/1/0/NO,Homo sapiens,2019-12-30,China / Hubei / Wuhan,"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College",2020-01-21,"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"
BetaCoV/Wuhan/IPBCAMS-WH-04/2019,GWHABKI00000000,Genome Warehouse,"EPI_ISL_403929, MT019532",Complete,29890,High,0/0/0/0/NO,Homo sapiens,2019-12-30,China / Hubei / Wuhan,"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College",2020-01-21,"Institute of Pathogen Biology, Chinese Academy of Medical Sciences & Peking Union Medical College"
